job,company,location,salary,summary,link,crawl_url
TECHNICIEN INFORMATIQUE ATELIER H/F,THEOTECH,Paris (75),,Technicien de maintenance,/company/THEOTECH/jobs/Technicien-Informatique-Atelier-0ce98cc5b569c799?fccid=d1309abc50b8b5da&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Assistant d'accueil H/F,,Paris 16e (75),1 650 € par mois,"Filiale du groupe Neurones, 10ème ESN française, EduGroupe est un prestataire de services de formation spécialisé dans le domaine informatique.",/company/EduGroupe/jobs/Assistant-Accueil-704ac928b8253e11?fccid=bc8e517086057dd8&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
directeur informatique de produit,Gentis Recruitment SAS,Paris (75),,Gentis is a Belgian recruitment company headquartered in Brussels and providing permanent staffing as well as project sourcing solutions worldwide in multiple…,/rc/clk?jk=8e441ab5e1750f11&fccid=328c97309ff59b19&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Stagiaire Cybersécurité,,Paris (75),,DXC Technology est la première société de services,/rc/clk?jk=810d8dc12f797143&fccid=feaabf8e6a699d3c&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Chef de Projet – Informatique Décisionnelle (H/F),,Le Kremlin-Bicêtre (94),,"Au sein du domaine DGR « Data et Gestion des Risques » de la DSI de MGEN, nous recrutons un chef de projets",/rc/clk?jk=42fcbea9305edc19&fccid=bcac10f5843638e7&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Chargé de trajets pour personnes handicapées/âgées,Mon Copilote,Paris 13e (75),1 522 € par mois,"Aisance téléphonique et avec les outils informatiques,.",/company/Handivalise/jobs/Charg%C3%A9-Trajets-Personnes-Handicap%C3%A9es-%C3%82g%C3%A9es-89f69c1b22564428?fccid=ffe058c7a4928284&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Développeur PHP SYMFONY APACHE / Freelance,FREELANCE VISION,Nanterre (92),,Le support lors de la recette utilisateur.,/rc/clk?jk=8344a8425f59b26f&fccid=ceedf07766931e6b&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Alternance Bac + 3 : Développement Big Data (H/F),,Vélizy-Villacoublay (78),,"Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de…",/rc/clk?jk=9cd6803d3143d904&fccid=b920aab5fd60595d&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Recruteur football,desgui,Paris (75),2 500 € par mois,Bonjour je recherche actuellement un club ou une agence de football qui cherche un recruteur football.,/company/desgui/jobs/Recruteur-Football-b350ef6eb2fef262?fccid=dd616958bd9ddc12&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
Chargé du système d'information (débutant),Direction interregionale des services pénitentiair...,Fresnes (94),2 245 € par mois,Utiliser les applications,/company/Direction-interregionale-des-services-p%C3%A9nitentiaires-de-Paris/jobs/Charg%C3%A9-Du-Syst%C3%A8me-Information-b0f4e4846b16e11a?fccid=d5045af241d06a61&vjs=3,https://www.indeed.fr/emplois?q=Informatique&l=Paris&sort=date&start=00
